,time_value,geo_value,cc,value,sample_size
4330,2020-12-02,al,1,86.24071359999999,3542.1169
4381,2020-12-03,al,1,85.9734868,3667.1069
4432,2020-12-04,al,1,86.4240425,3693.0982
4483,2020-12-05,al,1,86.5726355,3719.1001
4534,2020-12-06,al,1,87.16107530000001,3687.1056
4585,2020-12-07,al,1,87.556273,3772.1027
2,2020-09-08,ar,2,84.8017448,226.0004
47,2020-09-09,ar,2,83.89969520000001,617.0001
98,2020-09-10,ar,2,84.59724440000001,1027.9938
149,2020-09-11,ar,2,84.1634615,1384.9948
200,2020-09-12,ar,2,84.3618324,1767.0684
251,2020-09-13,ar,2,84.8968686,2205.8834
302,2020-09-14,ar,2,85.2962239,2639.8774
353,2020-09-15,ar,2,84.9007064,2795.8772
404,2020-09-16,ar,2,85.5580307,2784.6928
455,2020-09-17,ar,2,85.4513946,2743.6995
506,2020-09-18,ar,2,85.8069543,2741.9997
557,2020-09-19,ar,2,85.7700096,2699.7411
608,2020-09-20,ar,2,85.63502240000001,2612.9999
659,2020-09-21,ar,2,85.0807922,2489.0806
710,2020-09-22,ar,2,85.4201757,2478.4558
761,2020-09-23,ar,2,84.372907,2459.4717
812,2020-09-24,ar,2,84.0930554,2422.4717
863,2020-09-25,ar,2,83.8069101,2359.9793
914,2020-09-26,ar,2,83.9458944,2343.1879
965,2020-09-27,ar,2,83.78299670000001,2338.1387
1016,2020-09-28,ar,2,83.6908565,2386.1971
1067,2020-09-29,ar,2,83.8042987,2322.6493
1118,2020-09-30,ar,2,84.2645474,2257.9417
1169,2020-10-01,ar,2,84.2348959,2221.9349
1220,2020-10-02,ar,2,84.5784599,2247.1931
1271,2020-10-03,ar,2,84.7891474,2232.1641
1322,2020-10-04,ar,2,84.6033309,2205.2129
1373,2020-10-05,ar,2,84.7229382,2165.5907
1424,2020-10-06,ar,2,84.47996540000001,2234.7637
1475,2020-10-07,ar,2,84.1052804,2345.78
1526,2020-10-08,ar,2,84.6505126,2364.9233
1577,2020-10-09,ar,2,84.0916953,2337.9293
1628,2020-10-10,ar,2,84.1223003,2373.9284
1679,2020-10-11,ar,2,84.48259759999999,2396.8485
1730,2020-10-12,ar,2,84.74922149999999,2384.3379
1781,2020-10-13,ar,2,84.8965514,2356.6397
1832,2020-10-14,ar,2,85.31385809999999,2320.5001
1883,2020-10-15,ar,2,85.3498179,2317.1787
1934,2020-10-16,ar,2,85.756163,2313.1061
1985,2020-10-17,ar,2,85.3188963,2242.9287
2036,2020-10-18,ar,2,85.5896374,2187.9352
2087,2020-10-19,ar,2,85.50099709999999,2215.9352
2138,2020-10-20,ar,2,85.56562679999999,2140.633
2189,2020-10-21,ar,2,86.1398057,2070.6268
2240,2020-10-22,ar,2,85.2528256,2014.7631
2291,2020-10-23,ar,2,85.389893,1985.763
2342,2020-10-24,ar,2,85.2785344,2005.9476
2393,2020-10-25,ar,2,84.6348012,1986.9476
2444,2020-10-26,ar,2,84.83090329999999,1934.0203
2495,2020-10-27,ar,2,85.0990467,1895.0203
2546,2020-10-28,ar,2,85.1606686,1822.0262
2597,2020-10-29,ar,2,86.4016519,1746.0747
2648,2020-10-30,ar,2,87.0021449,1642.1411
2699,2020-10-31,ar,2,87.1201596,1626.1405
2750,2020-11-01,ar,2,87.0965035,1654.1568
2801,2020-11-02,ar,2,86.77051479999999,1711.0839999999998
2852,2020-11-03,ar,2,85.6007793,1710.8989
2903,2020-11-04,ar,2,84.8634058,1620.8992
2954,2020-11-05,ar,2,84.2245942,1567.8991
3005,2020-11-06,ar,2,83.93607740000002,1620.6475
3056,2020-11-07,ar,2,84.0466916,1462.6475
3107,2020-11-08,ar,2,84.02751049999999,1310.6321
3158,2020-11-09,ar,2,83.5163553,1239.6255
3209,2020-11-10,ar,2,85.0667538,1334.9473
3260,2020-11-11,ar,2,85.1319135,1508.9475
3311,2020-11-12,ar,2,85.3062595,1692.2489
3362,2020-11-13,ar,2,86.13651440000001,1822.5075
3413,2020-11-14,ar,2,86.6830236,2032.5074
3464,2020-11-15,ar,2,86.9354178,2231.1173
3515,2020-11-16,ar,2,87.58197259999999,2315.1247
3566,2020-11-17,ar,2,88.2641455,2338.9813
3617,2020-11-18,ar,2,88.74542109999999,2350.1906
3668,2020-11-19,ar,2,89.5212833,2406.8836
3719,2020-11-20,ar,2,89.0807987,2428.8041
3770,2020-11-21,ar,2,89.1516315,2463.106
3821,2020-11-22,ar,2,89.71732490000001,2493.489
3872,2020-11-23,ar,2,89.7884375,2481.482
3923,2020-11-24,ar,2,89.05694809999999,2498.3046
3974,2020-11-25,ar,2,89.3022189,2536.9104
4025,2020-11-26,ar,2,89.0626202,2508.7437
4076,2020-11-27,ar,2,88.5662113,2469.7497
4127,2020-11-28,ar,2,88.3551006,2468.5207
4178,2020-11-29,ar,2,88.1752056,2515.5207
4229,2020-11-30,ar,2,88.07021759999999,2518.5204
4280,2020-12-01,ar,2,88.8339301,2556.7146
4331,2020-12-02,ar,2,88.9083818,2582.8989
4382,2020-12-03,ar,2,89.31909809999999,2635.4459
4433,2020-12-04,ar,2,90.45016109999999,2675.4462
4484,2020-12-05,ar,2,91.0122416,2697.3736
4535,2020-12-06,ar,2,90.7716921,2670.3803
4586,2020-12-07,ar,2,90.9685365,2695.3869
3,2020-09-08,az,3,86.7139748,604.8998
48,2020-09-09,az,3,86.6758417,1458.7545
99,2020-09-10,az,3,87.47642420000001,2310.6401
150,2020-09-11,az,3,87.35271359999999,3094.5257
201,2020-09-12,az,3,86.8561839,3913.3883
252,2020-09-13,az,3,86.9842085,4750.92
303,2020-09-14,az,3,86.89988659999999,5643.9893
354,2020-09-15,az,3,87.3422579,5864.9751
405,2020-09-16,az,3,87.2886936,5777.3203
456,2020-09-17,az,3,87.1243318,5719.0915
507,2020-09-18,az,3,86.8920028,5655.852
558,2020-09-19,az,3,87.1616499,5540.9894
609,2020-09-20,az,3,86.97403100000001,5415.1038
660,2020-09-21,az,3,86.89172099999999,5259.0345
711,2020-09-22,az,3,86.5097622,5199.0566
762,2020-09-23,az,3,86.347448,5173.8567
813,2020-09-24,az,3,86.4028319,5055.1999
864,2020-09-25,az,3,86.1515381,5028.4394
915,2020-09-26,az,3,85.97591829999999,5058.1548
966,2020-09-27,az,3,85.88390749999999,5145.6084
1017,2020-09-28,az,3,85.8276537,5167.5161
1068,2020-09-29,az,3,85.34784029999999,5080.1622
1119,2020-09-30,az,3,85.570604,5013.0699
1170,2020-10-01,az,3,85.3318115,5020.0699
1221,2020-10-02,az,3,85.8274092,5019.2536
1272,2020-10-03,az,3,85.9796625,5002.4459
1323,2020-10-04,az,3,86.2402495,4908.246
1374,2020-10-05,az,3,86.47628420000001,4868.2239
1425,2020-10-06,az,3,87.0954465,4977.8627
1476,2020-10-07,az,3,87.14050879999999,5111.955
1527,2020-10-08,az,3,86.8224213,5185.8406
1578,2020-10-09,az,3,87.080811,5134.7713
1629,2020-10-10,az,3,87.1739589,5078.5097
1680,2020-10-11,az,3,86.8971127,5024.6099
1731,2020-10-12,az,3,86.6440742,4944.3704
1782,2020-10-13,az,3,86.7051295,4854.255999999999
1833,2020-10-14,az,3,86.5206829,4721.0493
1884,2020-10-15,az,3,86.7582116,4647.1637
1935,2020-10-16,az,3,86.7150537,4632.0635
1986,2020-10-17,az,3,86.2717207,4591.7096
2037,2020-10-18,az,3,86.4189578,4582.5952
2088,2020-10-19,az,3,86.9433167,4613.495
2139,2020-10-20,az,3,86.9025913,4614.4168
2190,2020-10-21,az,3,87.13327530000001,4557.2696
2241,2020-10-22,az,3,87.3825758,4441.2696
2292,2020-10-23,az,3,87.1561062,4347.3698
2343,2020-10-24,az,3,87.3946947,4263.0776
2394,2020-10-25,az,3,87.5024867,4211.8381
2445,2020-10-26,az,3,86.9103324,4105.2922
2496,2020-10-27,az,3,86.6066962,3847.9383
2547,2020-10-28,az,3,86.747287,3677.4921
2598,2020-10-29,az,3,86.89533409999999,3482.4921
2649,2020-10-30,az,3,86.6537404,3359.4921
2700,2020-10-31,az,3,86.7204388,3406.4921
2751,2020-11-01,az,3,86.8702725,3445.3777
2802,2020-11-02,az,3,87.3522933,3521.3777
2853,2020-11-03,az,3,87.2716272,3569.7628
2904,2020-11-04,az,3,86.8725453,3354.5629
2955,2020-11-05,az,3,86.49744229999999,3283.5629
3006,2020-11-06,az,3,86.7378402,3350.6411
3057,2020-11-07,az,3,86.97759620000001,2974.6411
3108,2020-11-08,az,3,87.095483,2653.1094
3159,2020-11-09,az,3,87.8212919,2532.1094
3210,2020-11-10,az,3,87.5451195,2756.955
3261,2020-11-11,az,3,87.60158100000001,3164.7262
3312,2020-11-12,az,3,87.93152099999999,3516.4275
3363,2020-11-13,az,3,88.4364192,3644.0647
3414,2020-11-14,az,3,88.82774659999998,4076.0647
3465,2020-11-15,az,3,88.97208309999999,4492.1423
3516,2020-11-16,az,3,88.7529218,4644.651
3567,2020-11-17,az,3,89.4113716,4631.3279999999995
3618,2020-11-18,az,3,90.0995646,4670.5117
3669,2020-11-19,az,3,90.41607320000001,4678.7102
3720,2020-11-20,az,3,90.4784792,4761.8946
3771,2020-11-21,az,3,90.6355444,4841.7802
